waypoint_id,event_name,event_date,region,trayek,sub_trayek,sequence,raw_text,normalized_name,entity_type,category_hint,route_role,lat,lng,match_status,matched_name,matched_source,confidence,verification_status,notes
jfr2025_wp039,Jembrana Fun Rally,2025-08-30,Jembrana,2,A,3,Jalan Kalimutu,jalan kalimutu,road,road,pass,,,ocr_detected,,,0.60,needs_navigator_validation,road candidate
jfr2025_wp040,Jembrana Fun Rally,2025-08-30,Jembrana,2,A,4,Jalan Kepundung,jalan kepundung,road,road,pass,,,ocr_detected,,,0.60,needs_navigator_validation,road candidate
jfr2025_wp041,Jembrana Fun Rally,2025-08-30,Jembrana,2,A,5,Jalan Danau Beratan,jalan danau beratan,road,road,pass,,,ocr_detected,,,0.60,needs_navigator_validation,road candidate
jfr2025_wp042,Jembrana Fun Rally,2025-08-30,Jembrana,2,A,6,X Baluk,x baluk,intersection,intersection,pass,,,ocr_detected,,,0.50,needs_navigator_validation,event route marker or local intersection
jfr2025_wp043,Jembrana Fun Rally,2025-08-30,Jembrana,2,A,7,BR Adat Berawansalah,balai banjar adat berawansalah,poi,banjar,pass,,,needs_resolution,,,0.45,needs_navigator_validation,low OCR confidence name
jfr2025_wp044,Jembrana Fun Rally,2025-08-30,Jembrana,2,A,8,BR Rening Cupel,balai banjar rening cupel,poi,banjar,pass,,,needs_resolution,,,0.50,needs_navigator_validation,not found in jembrana csv
jfr2025_wp045,Jembrana Fun Rally,2025-08-30,Jembrana,2,A,9,BR Munduk Asem,balai banjar munduk asem,poi,banjar,pass,-8.3613737,114.5602058,matched_from_jembrana_csv,Balai Banjar Munduk Asem,jembrana_maps_base_clean.csv,0.90,needs_navigator_validation,strong candidate found
jfr2025_wp046,Jembrana Fun Rally,2025-08-30,Jembrana,2,A,10,Kantor Kepala Desa Cupel,kantor kepala desa cupel,poi,government,pass,,,needs_resolution,,,0.55,needs_navigator_validation,not found in jembrana csv
jfr2025_wp047,Jembrana Fun Rally,2025-08-30,Jembrana,2,A,11,BR Puana,balai banjar puana,poi,banjar,end,-8.3663074,114.5769386,matched_from_jembrana_csv,Balai banjar puana,jembrana_maps_base_clean.csv,0.90,needs_navigator_validation,end of sub A candidate
jfr2025_wp048,Jembrana Fun Rally,2025-08-30,Jembrana,2,B,1,Kantor Kepala Desa Tegal Badeng Barat,kantor kepala desa tegal badeng barat,poi,government,start,,,needs_resolution,,,0.55,needs_navigator_validation,not found in jembrana csv
jfr2025_wp049,Jembrana Fun Rally,2025-08-30,Jembrana,2,B,2,BR Anyar,balai banjar anyar tegal badeng barat,poi,banjar,pass,-8.3703314,114.5872179,partial_match_from_jembrana_csv,Balai Dinas Banjar Anyar Tegal Badeng Barat,jembrana_maps_base_clean.csv,0.72,needs_navigator_validation,generic BR Anyar matched by route context Tegal Badeng Barat
jfr2025_wp050,Jembrana Fun Rally,2025-08-30,Jembrana,2,B,3,Jalan Melon,jalan melon,road,road,pass,,,ocr_detected,,,0.60,needs_navigator_validation,road candidate
jfr2025_wp051,Jembrana Fun Rally,2025-08-30,Jembrana,2,B,4,Kantor Kepala Desa Tegal Badeng Timur,kantor kepala desa tegal badeng timur,poi,government,pass,,,needs_resolution,,,0.55,needs_navigator_validation,not found in jembrana csv
jfr2025_wp052,Jembrana Fun Rally,2025-08-30,Jembrana,2,B,5,Jalan Danau Batur,jalan danau batur,road,road,pass,,,ocr_detected,,,0.60,needs_navigator_validation,road candidate
jfr2025_wp053,Jembrana Fun Rally,2025-08-30,Jembrana,2,B,6,SD 1 Loloan Barat,sd negeri 1 loloan barat,poi,school,pass,,,needs_resolution,,,0.50,needs_navigator_validation,repeated from trayek 1 sub C
jfr2025_wp054,Jembrana Fun Rally,2025-08-30,Jembrana,2,B,7,Jalan Pulau Jawa,jalan pulau jawa,road,road,pass,,,ocr_detected,,,0.60,needs_navigator_validation,road candidate
jfr2025_wp055,Jembrana Fun Rally,2025-08-30,Jembrana,2,B,8,BR Sri Mandala,balai banjar sri mandala,poi,banjar,pass,-8.3642118,114.6354011,matched_from_jembrana_csv,Balai Banjar Sri Mandala,jembrana_maps_base_clean.csv,0.90,needs_navigator_validation,strong candidate found
jfr2025_wp056,Jembrana Fun Rally,2025-08-30,Jembrana,2,B,9,Kantor Lurah Dauh Waru,kantor lurah dauh waru,poi,government,end,,,needs_resolution,,,0.55,needs_navigator_validation,end of sub B candidate
jfr2025_wp057,Jembrana Fun Rally,2025-08-30,Jembrana,2,C,1,Jalan Gunung Agung,jalan gunung agung,road,road,start,,,ocr_detected,,,0.65,needs_navigator_validation,road candidate
jfr2025_wp058,Jembrana Fun Rally,2025-08-30,Jembrana,2,C,2,Jalan Katulampo,jalan katulampo,road,road,pass,,,ocr_detected,,,0.65,needs_navigator_validation,repeated road candidate
jfr2025_wp059,Jembrana Fun Rally,2025-08-30,Jembrana,2,C,3,Jalan Mangga,jalan mangga,road,road,pass,,,ocr_detected,,,0.60,needs_navigator_validation,road candidate
jfr2025_wp060,Jembrana Fun Rally,2025-08-30,Jembrana,2,C,4,Jalan Danau Tondano,jalan danau tondano,road,road,pass,,,ocr_detected,,,0.60,needs_navigator_validation,road candidate
jfr2025_wp061,Jembrana Fun Rally,2025-08-30,Jembrana,2,C,5,Jalan DR Sutomo,jalan dr sutomo,road,road,pass,,,ocr_detected,,,0.60,needs_navigator_validation,road candidate
jfr2025_wp062,Jembrana Fun Rally,2025-08-30,Jembrana,2,C,6,Jalan Mayor Sugianyar,jalan mayor sugianyar,road,road,pass,,,ocr_detected,,,0.65,needs_navigator_validation,road candidate
jfr2025_wp063,Jembrana Fun Rally,2025-08-30,Jembrana,2,C,7,Jalan Merak,jalan merak,road,road,pass,,,ocr_detected,,,0.65,needs_navigator_validation,repeated road candidate
jfr2025_wp064,Jembrana Fun Rally,2025-08-30,Jembrana,2,C,8,Jalan Surapati,jalan surapati,road,road,end,,,ocr_detected,,,0.65,needs_navigator_validation,end road before finish
jfr2025_wp065,Jembrana Fun Rally,2025-08-30,Jembrana,2,C,9,FINISH,finish,finish_point,finish,end,,,ocr_detected,,,0.60,needs_navigator_validation,finish by zero car 14.00 WITA

